Nome_Microrregião;Código Município Completo
Cacoal;1100015
Cacoal;1100379
Ariquemes;1100403
Alvorada D'Oeste;1100346
Ariquemes;1100023
Porto Velho;1100452
Colorado do Oeste;1100031
Ariquemes;1100601
Cacoal;1100049
Porto Velho;1100700
Porto Velho;1100809
Cacoal;1100908
Colorado do Oeste;1100056
Vilhena;1100924
Colorado do Oeste;1100064
Colorado do Oeste;1100072
Guajará-Mirim;1100080
Porto Velho;1100940
Cacoal;1100098
Ji-Paraná;1101005
Guajará-Mirim;1100106
Porto Velho;1101104
Ji-Paraná;1100114
Ji-Paraná;1100122
Ariquemes;1100130
Cacoal;1101203
Ji-Paraná;1101302
Ariquemes;1101401
Alvorada D'Oeste;1100148
Porto Velho;1100338
Ji-Paraná;1101435
Cacoal;1100502
Ji-Paraná;1100155
Vilhena;1101450
Vilhena;1100189
Colorado do Oeste;1101468
Porto Velho;1100205
Ji-Paraná;1100254
Vilhena;1101476
Ariquemes;1100262
Cacoal;1100288
Cacoal;1100296
Vilhena;1101484
Guajará-Mirim;1101492
Alvorada D'Oeste;1100320
Alvorada D'Oeste;1101500
Ji-Paraná;1101559
Ji-Paraná;1101609
Ji-Paraná;1101708
Ariquemes;1101757
Ji-Paraná;1101807
Vilhena;1100304
Rio Branco;1200013
Brasiléia;1200054
Brasiléia;1200104
Rio Branco;1200138
Rio Branco;1200179
Cruzeiro do Sul;1200203
Brasiléia;1200252
Tarauacá;1200302
Tarauacá;1200328
Cruzeiro do Sul;1200336
Sena Madureira;1200344
Cruzeiro do Sul;1200351
Rio Branco;1200385
Rio Branco;1200807
Cruzeiro do Sul;1200393
Rio Branco;1200401
Cruzeiro do Sul;1200427
Sena Madureira;1200435
Sena Madureira;1200500
Rio Branco;1200450
Tarauacá;1200609
Brasiléia;1200708
Tefé;1300029
Alto Solimões;1300060
Coari;1300086
Coari;1300102
Madeira;1300144
Alto Solimões;1300201
Manaus;1300300
Rio Negro;1300409
Parintins;1300508
Alto Solimões;1300607
Coari;1300631
Parintins;1300680
Boca do Acre;1300706
Madeira;1300805
Coari;1300839
Purus;1300904
Juruá;1301001
Manaus;1301100
Manaus;1301159
Coari;1301209
Coari;1301308
Juruá;1301407
Juruá;1301506
Alto Solimões;1301605
Juruá;1301654
Madeira;1301704
Juruá;1301803
Manaus;1301852
Itacoatiara;1301902
Juruá;1301951
Itacoatiara;1302009
Japurá;1302108
Juruá;1302207
Alto Solimões;1302306
Purus;1302405
Manaus;1302504
Manaus;1302553
Manaus;1302603
Madeira;1302702
Japurá;1302801
Parintins;1302900
Parintins;1303007
Itacoatiara;1303106
Rio Negro;1303205
Madeira;1303304
Parintins;1303403
Boca do Acre;1303502
Rio Preto da Eva;1303536
Rio Preto da Eva;1303569
Rio Negro;1303601
Alto Solimões;1303700
Rio Negro;1303809
Alto Solimões;1303908
Parintins;1303957
Itacoatiara;1304005
Alto Solimões;1304062
Purus;1304104
Tefé;1304203
Alto Solimões;1304237
Tefé;1304260
Parintins;1304302
Itacoatiara;1304401
Boa Vista;1400050
Boa Vista;1400027
Boa Vista;1400100
Nordeste de Roraima;1400159
Nordeste de Roraima;1400175
Caracaraí;1400209
Sudeste de Roraima;1400233
Caracaraí;1400282
Caracaraí;1400308
Nordeste de Roraima;1400407
Boa Vista;1400456
Sudeste de Roraima;1400472
Sudeste de Roraima;1400506
Sudeste de Roraima;1400605
Nordeste de Roraima;1400704
Cametá;1500107
Paragominas;1500131
Tomé-Açu;1500206
Furos de Breves;1500305
Parauapebas;1500347
Santarém;1500404
Almeirim;1500503
Altamira;1500602
Furos de Breves;1500701
Belém;1500800
Altamira;1500859
Bragantina;1500909
Guamá;1500958
Itaituba;1501006
Portel;1501105
Cametá;1501204
São Félix do Xingu;1501253
Belém;1501303
Belém;1501402
Santarém;1501451
Belém;1501501
Paragominas;1501576
Bragantina;1501600
Bragantina;1501709
Altamira;1501725
Marabá;1501758
Tucuruí;1501782
Furos de Breves;1501808
Castanhal;1501907
Arari;1502004
Guamá;1501956
Cametá;1502103
Parauapebas;1502152
Bragantina;1502202
Guamá;1502301
Castanhal;1502400
Arari;1502509
Salgado;1502608
Conceição do Araguaia;1502707
Tomé-Açu;1502756
São Félix do Xingu;1502764
Parauapebas;1502772
Furos de Breves;1502806
Santarém;1502855
Salgado;1502905
Paragominas;1502939
Parauapebas;1502954
Óbidos;1503002
Conceição do Araguaia;1503044
Guamá;1503077
Paragominas;1503093
Portel;1503101
Bragantina;1503200
Cametá;1503309
Castanhal;1503408
Guamá;1503457
Guamá;1503507
Itaituba;1503606
Tucuruí;1503705
Itaituba;1503754
Tucuruí;1503804
Óbidos;1503903
Cametá;1504000
Guamá;1504059
Salgado;1504109
Marabá;1504208
Salgado;1504307
Salgado;1504406
Belém;1504422
Altamira;1504455
Portel;1504505
Cametá;1504604
Tomé-Açu;1504703
Santarém;1504752
Santarém;1504802
Arari;1504901
Guamá;1504950
Tucuruí;1504976
Bragantina;1505007
Itaituba;1505031
Tucuruí;1505064
Óbidos;1505106
Cametá;1505205
Óbidos;1505304
Guamá;1505403
São Félix do Xingu;1505437
Altamira;1505486
Marabá;1505494
Paragominas;1505502
Parauapebas;1505536
Redenção;1505551
Bragantina;1505601
Redenção;1505635
Santarém;1505650
Arari;1505700
Portel;1505809
Almeirim;1505908
Santarém;1506005
Bragantina;1506104
Bragantina;1506112
Redenção;1506138
Redenção;1506161
Paragominas;1506187
Itaituba;1506195
Salgado;1506203
Arari;1506302
Belém;1506351
Arari;1506401
Castanhal;1506500
Guamá;1506559
Conceição do Araguaia;1506583
Bragantina;1506609
Conceição do Araguaia;1506708
Santarém;1506807
Bragantina;1506906
Castanhal;1507003
Salgado;1507102
Marabá;1507151
Guamá;1507201
São Félix do Xingu;1507300
Bragantina;1507409
Redenção;1507458
Salgado;1507466
Salgado;1507474
Marabá;1507508
Guamá;1507607
Furos de Breves;1507706
Redenção;1507755
Altamira;1507805
Arari;1507904
Tomé-Açu;1507953
Salgado;1507961
Óbidos;1507979
Tomé-Açu;1508001
Bragantina;1508035
Itaituba;1508050
São Félix do Xingu;1508084
Tucuruí;1508100
Paragominas;1508126
Altamira;1508159
Salgado;1508209
Guamá;1508308
Altamira;1508357
Redenção;1508407
Amapá;1600105
Oiapoque;1600204
Macapá;1600212
Macapá;1600238
Macapá;1600253
Mazagão;1600279
Macapá;1600303
Mazagão;1600402
Oiapoque;1600501
Macapá;1600154
Macapá;1600535
Amapá;1600550
Macapá;1600600
Macapá;1600055
Amapá;1600709
Mazagão;1600808
Miracema do Tocantins;1700251
Bico do Papagaio;1700301
Gurupi;1700350
Dianópolis;1700400
Gurupi;1700707
Bico do Papagaio;1701002
Bico do Papagaio;1701051
Porto Nacional;1701101
Araguaína;1701309
Miracema do Tocantins;1701903
Rio Formoso;1702000
Araguaína;1702109
Araguaína;1702158
Bico do Papagaio;1702208
Araguaína;1702307
Dianópolis;1702406
Bico do Papagaio;1702554
Dianópolis;1702703
Bico do Papagaio;1702901
Araguaína;1703008
Araguaína;1703057
Jalapão;1703073
Miracema do Tocantins;1703107
Miracema do Tocantins;1703206
Porto Nacional;1703305
Miracema do Tocantins;1703602
Gurupi;1703701
Bico do Papagaio;1703800
Bico do Papagaio;1703826
Jalapão;1703842
Gurupi;1703867
Araguaína;1703883
Bico do Papagaio;1703891
Miracema do Tocantins;1703909
Jalapão;1704105
Dianópolis;1705102
Rio Formoso;1704600
Araguaína;1705508
Miracema do Tocantins;1716703
